S.No,Start,Distance,Race Name,Rank 1 Number,Rank 1 Name,Rank 1 Rider,Rank 1 W,Rank 1 P,Rank 2 Number,Rank 2 Name,Rank 2 Rider,Rank 2 W,Rank 2 P,Rank 3 Number,Rank 3 Name,Rank 3 Rider,Rank 3 P,Rank 3 W,Rank 4 Number,Rank 4 Name,Rank 4 Rider,Rank 4 W,Rank 4 P,Win,Place,Qulnella,Exacta,Trifecta,First4,Double,Quaddle,Qulnella Results,Qulnella Dividends,Exacta Results,Exacta Dividends,Trifecta Results,Trifecta Dividends,First4 Results,First4 Dividends
5,13:20,1200,THE SHOWDOWN 2Y SW,2,KHOEKHOE,FRED W KERSLEY (A),13.9,4.2,10,RIVER NIGHT,JAMIE KAH,-,2.2,3,GALACTIC FURY,BEN ALLEN,-,12.1,12,MISS INBETWEEN,BEN MELHAM,-,-,115K,72.6K,46.8K,13.4K,109K,55.4K,13.7K,1.20M,02-Oct,38.8,02-Oct,76.8,02-10-2003,2742.6,2-10-3-12,51021.7
6,14:00,1100,NEDS BEL ESPRIT STAKES LISTED HCP,8,WILLIAM THOMAS,MICHAEL DEE,10.6,3.4,10,HUMMA HUMMA,DANIEL STACKHOUSE,-,2.4,15,CORUSCATE,JYE MCNEIL,-,3.1,9,LYRE,MARK ZAHRA,-,-,137K,84.2K,48.3K,13.3K,116K,62K,16.7K,-,08-Oct,44.4,08-Oct,94,08-10-2015,736,8-10-15-9,2538
7,14:40,1100,AVENEL EQUINE HOSPITAL VOBIS GOLD DASH 3UP SW+P,9,LANKAN STAR,DANIEL STACKHOUSE,19.1,4.6,16,PAUL'S REGRET,BEAU MERTENS,-,3.7,14,FELICIA,DAMIEN OLIVER,-,2.7,10,KNOWLES,CRAIG WILLIAMS,-,-,134K,73.2K,59.3K,16.9K,134K,64.7K,30.8K,-,Sep-16,100.9,Sep-16,271.1,9-16-14,3164.7,9-16-14-10,9031.3
8,15:15,1600,THE VOBIS SIRES GUINEAS 3UP SW,14,FLORENT,JAKE NOONAN,47,9.4,10,LEALE,BEAU MERTENS,-,7.5,12,AFFAIR TO REMEMBER,DAMIEN OLIVER,-,1.3,11,DON'TTELLTHEBOSS,BRETT PREBBLE,-,-,149K,76.1K,58.3K,18K,138K,87.7K,-,-,Oct-14,319.2,14-Oct,841,14-10-2012,5194.4,14-10-12-11,54280.3
0,09:33,1640,HELP A NEIGHBOUR MAIDEN PLATE MDN-SW,5,CITY SMART,JAKE BAYLISS,2.8,1.2,2,PHOENIX RAIDER,MICHAEL MURPHY,-,3,6,MONSTER OF POWER,LARRY CASSIDY,-,1.7,7,VALIDAR,JAMES ORMAN,-,-,15.6K,"9,225","8,989","2,401",17.7K,14.9K,"2,556",-,02-May,16.8,05-Feb,22.2,05-02-2006,85.2,5-2-6-7,483.5
1,10:08,2220,MILLERS SWIM SCHOOL BENCHMARK 90 HANDICAP BM90 HCP,2,BOOM BOOM EPIC,MADELEINE WISHART (A3.0),5.4,2.7,4,POPULIST,COREY BAYLISS (A2.0),-,1.1,6,TACTICAL MANUEVER,ADAM SEWELL,-,-,3,BROCSON,ADIN THOMPSON (A2.0),-,-,19.8K,"4,848","3,953","2,029","7,158","9,502",567,17.6K,02-Apr,3.3,02-Apr,8,02-04-2006,49.2,2-4-6-3,98.4
2,10:43,1350,THANK YOU HEALTHCARE WORKERS QTIS TWO-YEARS-OLD HANDICAP 2Y  HCP,6,STAROSA,BAYLEE NOTHDURFT (A),12.5,3.9,1,TUMBLER RIDGE,JUSTIN HUXTABLE (A2.0),-,1.04,2,BROKEN HERO,BRAD STEWART,-,-,3,MISHANI EPIC,ADIN THOMPSON (A2.0),-,-,15.6K,"4,855","7,147","2,924",12.7K,15.1K,"1,210",-,01-Jun,9.2,06-Jan,48.9,06-01-2002,44.7,6-1-2-3,125.5
3,11:18,1350,TAB QTIS THREE-YEARS-OLD MAIDEN PLATE 3Y MDN-SW,2,ANGUS THE BLACK,BAYLEE NOTHDURFT (A),1.6,1.04,6,HEARTS DENIED,ADIN THOMPSON (A2.0),-,2.2,7,LEO THE LION,ANDREW SPINKS,-,13.8,3,BARONET,SEAN CORMACK,-,-,21.4K,11.9K,"9,831","5,646",21.8K,18.2K,"1,317",-,02-Jun,5.2,02-Jun,4.2,02-06-2007,169.9,2-6-7-3,772.8
4,11:53,1640,BERNBOROUGH ASCOT OPEN HANDICAP OPEN HCP,4,SABKHAT,JUSTIN HUXTABLE (A2.0),17.4,3.9,3,MAGNUFIGHTER,COREY BAYLISS (A2.0),-,2,2,GET STUCK IN,BAYLEE NOTHDURFT (A),-,-,8,COASTAL PRINCE,TAYLOR MARSHALL,-,-,20.1K,"7,963","7,056","4,474",16.7K,18.9K,"1,495",-,03-Apr,33.3,04-Mar,121.9,04-03-2002,104.7,4-3-2-8,1675.4
5,12:32,1110,LEXUS CLASS 3 PLATE CL3-SW,14,NIEDORP,BAYLEE NOTHDURFT (A),1.3,1.04,12,GARIBALDI,ANTHONY ALLEN,-,1.8,6,TREVELLO,JUSTIN HUXTABLE (A2.0),-,2,2,PERFECT AIM,ADIN THOMPSON (A2.0),-,-,29.2K,16K,15K,"5,276",37K,29K,"1,471",73K,Dec-14,2.9,14-Dec,3.5,14-12-2006,9.9,14-12-6-2,75.9
