S.No.,Location Code,Location,Start,Distance,Race Name,Rank 1 Number,Rank 1 Name,Rank 1 Rider,Rank 1 W,Rank 1 P,Rank 2 Number,Rank 2 Name,Rank 2 Rider,Rank 2 W,Rank 2 P,Rank 3 Number,Rank 3 Name,Rank 3 Rider,Rank 3 W,Rank 3 P,Rank 4 Number,Rank 4 Name,Rank 4 Rider,Rank 4 W,Rank 4 P,Win,Place,Qulnella,Exacta,Trifecta,First 4,Double,Quaddle,Qulnella Results,Qulnella Dividends,Exacta Results,Exacta Dividends,Trifecta Results,Trifecta Dividends,First 4 Results,First 4 Dividends
4,MT,Melton,18:00,1720,FLYING BRICK CIDER FREE HOME DELIVERY PACE NR 58 TO 62 PACE,9,MIRRAGON,JODI QUINLAN,3.20,1.30,6,VOUCHERS,GREG SUGARS,-,1.04,3,DELWYNS SON,KYLIE SUGARS,-,1.90,10,IF THE MOOD SUITS,MITCHELL BARKER,-,-,"6,924","4,184","1,987",755,"5,253","5,593",448,23.6K,6-9,1.90,9-6,4.40,9-6-3,23.40,9-6-3-10,102.20
4,OD,Winnellie Park,18:02,383,COOLALINGA MOWERS DASH MX 1/2/3,1,MILEEKA,S. NATHANAEL,2.10,1.04,8,HE'S ALL GRUNT,A. LASKER,-,2.30,2,SNOOP A LOOP,S. BOLTON,-,1.30,7,OUTLAW ARNHEM,S. BOLTON,-,-,"3,905","1,957",721,350,"1,516","1,913",26,469,1-8,10.80,1-8,13.40,1-8-2,25.80,1-8-2-7,415.00
3,SD,Richmond,18:05,330,LADBROKES INFO HUB MAIDEN HEAT 4 MDN HT,3,MAC ZEPHYR,P. LAGOGIANE,2.40,1.10,2,FINE LEE,V. MCDONALD,-,4.70,1,IPSO FACTO,H. TATIAN,-,1.10,8,IT'S OUR JOURNEY,R. HANCOCK,-,-,"8,180","3,564","1,885",861,"4,253","4,108",57,-,2-3,11.00,3-2,25.00,3-2-1,67.40,3-2-1-8,855.30
4,MD,Cranbourne,18:08,520,RAM LOCKSMITH (1-3 WINS) R/W,4,SAILING SHOES,R. PALMER,2.70,1.20,6,BLACK QUE,R. CRAWFORD,-,1.40,8,DECLASSIFIED,G. O'KEEFFE,-,1.40,3,DAVID COIN,K. BROOKS,-,-,"5,278","2,386","1,273",567,"4,799","3,348",119,"8,894",4-6,7.60,4-6,12.70,4-6-8,41.30,4-6-8-3,186.50
6,ST,Bathurst,18:10,1730,YIRRIBEE PACING STUD MAIDEN PACE NO NR PACE,9,WARRAWEE DRINKING,STEVE TURNBULL,3.60,1.50,4,FIORELLA (NZ),AMANDA TURNBULL,-,1.20,7,DAVIDS HOPE,ANTHONY WINNELL,-,8.20,6,NEVILLE SHANNON,TRAVIS BULLOCK,-,-,"6,372","1,803",771,"1,050","3,823","2,879",197,-,4-9,3.50,9-4,6.10,9-4-7,185.50,9-4-7-6,1924.30
4,BD,Rockhampton,18:15,510,ANZAC CUP R/W,1,CRAIG'S REGRET,D. BECKETT,1.80,1.20,2,CHOPPER'S CHANCE,N. JACKSON,-,5.10,3,KOORINGA KENDAL,C. TORY,-,-,4,TOMMY LAVA,D. TAYLOR,-,-,"4,639","2,132","1,896",981,"3,995","5,190",74,"1,198",1-2,7.80,1-2,6.30,1-2-3,57.70,1-2-3-4,186.80
4,MDP,Ballarat,18:18,450,JA CATERING & FUNCTIONS GR5,4,NOONBARRA JACK,M. TURNER,10.00,2.80,1,MISSY BALE,A. DAILLY,-,1.80,7,ELLIAS BALE,M. DELBRIDGE,-,2.00,3,ALQUIST,A. DEBATTISTA,-,-,"4,780","2,295","1,577",465,"3,704","3,154",142,10.1K,1-4,32.50,4-1,57.30,4-1-7,200.10,4-1-7-3,441.00
5,BT,Redcliffe,18:21,947,TROT RODS - HEAT 7 - TIME TO BEAT 65.63 NR 47 TO 52,4,BARBOO,PAUL DIEBERT,30.70,6.70,3,JEWEL OF PEAK,NARISSA MCMULLEN,-,1.80,1,TOTAL DELIRIUM,NATHAN DAWSON,-,-,2,CHROMOZONE (NZ),TRENT MOFFAT,-,-,"4,586","1,828","1,547",593,"3,334","3,585",196,-,3-4,33.10,4-3,66.30,4-3-1,647.50,4-3-1-2,726.80
5,OD,Winnellie Park,18:22,312,GARRARD'S HORSE AND HOUND DASH GR5,8,CAIRNLEA SADIE,A. LASKER,4.90,1.10,5,AIN'T NO ONE,S. NATHANAEL,-,1.50,3,NAK FACTOR,S. BOLTON,-,5.70,7,KATY HAIRY,S. BOLTON,-,-,"3,340","1,816",765,351,"1,646","1,696",14,-,5-8,11.20,8-5,29.20,8-5-3,218.40,8-5-3-7,761.80
4,SD,Richmond,18:25,535,RICHMOND RACE CLUB STAKES GR5,8,JACK HIGH,R. MARSDEN,2.50,1.40,3,MAGIC AWAITS,A. MESSINA,-,1.60,4,TIPPA,M. GATT,-,1.20,1,POP THE CONFETTI,A. PROCTOR,-,-,"4,756","1,855",947,613,"3,765","3,260",106,"1,762",3-8,9.20,8-3,8.80,8-3-4,35.30,8-3-4-1,106.30
